 ,X,Y,Slice,z_um,fluorescent_image_path
1,1370,282,1,12,TEMP.tif
2,1368.167,323.5,1,12,
3,1585.5,428.833,1,12,
4,1640.167,427.5,1,12,
5,1348.167,644.833,1,12,
6,1344.167,695.5,1,12,
7,1317.5,411.5,1,12,
8,1266.833,415.5,1,12,
9,1307.5,1274.5,1,10,
10,1303.5,1315.833,1,10,
11,1523.5,1423.833,1,10,
12,1579.5,1425.167,1,10,
13,1279.5,1618.5,1,10,
14,1275.5,1673.167,1,10,
15,1199.5,1399.833,1,10,
16,1160.833,1399.833,1,10,
17,1250.167,2279.167,1,14,
18,1244.833,2327.167,1,14,
19,1467.5,2391.167,1,14,
20,1526.167,2392.5,1,14,
21,1223.5,2647.167,1,14,
22,1219.5,2700.5,1,14,
23,1147.5,2367.167,1,14,
24,1202.167,2367.167,1,14,
25,306.167,1557.833,1,12,
26,298.167,1611.167,1,12,
27,295.5,1664.5,1,12,
28,224.833,1329.833,1,12,
29,175.5,1328.5,1,12,
30,330.167,1257.833,1,12,
31,335.5,1216.5,1,12,
32,552.833,1363.167,1,12,
33,604.833,1365.833,1,12,
34,2341.5,1366.5,1,14,
35,2336.167,1414.5,1,14,
36,2622.833,1475.833,1,14,
37,2562.833,1474.5,1,14,
38,2316.167,1738.5,1,14,
39,2320.167,1686.5,1,14,
40,2288.167,1454.5,1,14,
