 ,X,Y
1,1.413,0.266
2,1.412,0.316
3,1.637,0.412
4,1.686,0.410
5,1.412,0.635
6,1.410,0.686
7,1.367,0.412
8,1.316,0.412
9,1.410,1.265
10,1.410,1.314
11,1.633,1.410
12,1.684,1.410
13,1.410,1.635
14,1.410,1.686
15,1.314,1.412
16,1.264,1.408
17,1.412,2.316
18,1.410,2.365
19,1.635,2.412
20,1.682,2.410
21,1.410,2.686
22,1.410,2.736
23,1.316,2.412
24,1.365,2.412
25,0.412,1.635
26,0.410,1.688
27,0.412,1.736
28,0.316,1.410
29,0.262,1.408
30,0.412,1.316
31,0.408,1.264
32,0.635,1.410
33,0.684,1.412
34,2.414,1.314
35,2.408,1.367
36,2.688,1.410
37,2.629,1.408
38,2.412,1.686
39,2.410,1.635
40,2.367,1.412
